epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.447,1.54918,2.50872,0.90218,0.03755,0.23583,0.13758,0.07636,1.40798,2.97171,0.85526,0.000364806,0.000364806,0.000364806
2,19.236,1.31708,1.15623,0.86177,0.78517,0.28226,0.34919,0.2106,1.20323,1.12589,0.84318,0.00069875,0.00069875,0.00069875
3,28.5234,1.2232,0.96254,0.8536,0.76898,0.34584,0.37724,0.22538,1.13145,0.72281,0.8394,0.000996031,0.000996031,0.000996031
4,37.8149,1.17162,0.86563,0.83731,0.80363,0.35946,0.40474,0.23969,1.0872,0.67973,0.82756,0.000946016,0.000946016,0.000946016
5,46.4767,1.15064,0.81538,0.83509,0.82654,0.37282,0.41948,0.2593,1.0476,0.63236,0.82292,0.000891022,0.000891022,0.000891022
6,55.0245,1.10941,0.75503,0.83198,0.81671,0.3683,0.42616,0.26224,1.05517,0.67353,0.82016,0.000836027,0.000836027,0.000836027
7,63.9616,1.1246,0.74414,0.82708,0.82257,0.37497,0.42775,0.26022,1.05237,0.63662,0.8205,0.000781033,0.000781033,0.000781033
8,73.0439,1.07845,0.71129,0.82961,0.80362,0.39856,0.44987,0.27744,0.99878,0.57682,0.8161,0.000726038,0.000726038,0.000726038
9,81.6677,1.05358,0.67133,0.82115,0.80916,0.39339,0.44574,0.27757,0.9932,0.58036,0.81546,0.000671044,0.000671044,0.000671044
10,90.1785,1.0523,0.66358,0.82311,0.86136,0.3959,0.45577,0.28621,0.97295,0.54664,0.8156,0.000616049,0.000616049,0.000616049
11,125.966,1.001,0.66948,0.82099,0.8087,0.39471,0.44436,0.27706,1.01643,0.59853,0.81787,0.000561055,0.000561055,0.000561055
12,134.355,1.00424,0.64362,0.81873,0.81107,0.39317,0.45339,0.28791,0.98691,0.54939,0.81436,0.00050606,0.00050606,0.00050606
13,142.68,0.96889,0.60547,0.81333,0.80485,0.4,0.4594,0.2911,0.97381,0.53949,0.81177,0.000451066,0.000451066,0.000451066
14,151.302,0.97183,0.60039,0.81422,0.85607,0.40225,0.46736,0.29726,0.95999,0.51832,0.81264,0.000396071,0.000396071,0.000396071
15,161.373,0.94256,0.56617,0.81091,0.84492,0.41142,0.47543,0.3018,0.9292,0.50588,0.8081,0.000341077,0.000341077,0.000341077
16,171.339,0.9374,0.56347,0.81387,0.74898,0.41545,0.4754,0.30154,0.93247,0.502,0.80963,0.000286083,0.000286083,0.000286083
17,181.359,0.91703,0.54684,0.80632,0.73873,0.40849,0.47645,0.30854,0.92044,0.49848,0.8076,0.000231088,0.000231088,0.000231088
18,191.363,0.90356,0.53052,0.80983,0.70847,0.41918,0.47962,0.30351,0.92275,0.48488,0.80667,0.000176094,0.000176094,0.000176094
19,201.875,0.88365,0.51754,0.80583,0.74521,0.41351,0.4834,0.31352,0.89204,0.47587,0.8042,0.000121099,0.000121099,0.000121099
20,212.303,0.88095,0.5111,0.80744,0.65345,0.42203,0.4838,0.31636,0.88095,0.46426,0.80357,6.61045e-05,6.61045e-05,6.61045e-05
